115	33	254	
106	26	263	
113	38	234	
99	29	239	
104	25	245	
95	35	280	
110	30	225	
105	34	267	
104	23	278	
96	41	249	
94	33	274	
97	29	241	
114	36	247	
103	36	251	
108	42	263	
98	31	260	
105	37	235	
109	38	255	
106	31	248	
111	39	237	
97	33	260	
106	37	278	
111	28	260	
97	36	261	
103	34	267	
97	35	221	
99	34	248	
106	50	254	
115	39	239	
88	31	251	
101	26	280	
99	31	234	
109	39	222	
104	21	239	
103	39	244	
94	24	239	
110	36	291	
94	23	218	
101	39	222	
91	34	245	
105	27	289	
98	38	228	
112	40	272	
125	26	253	
87	34	305	
94	38	246	
108	27	241	
106	32	236	
102	26	243	
112	36	234	
101	37	281	
98	32	251	
98	26	271	
93	31	275	
113	36	226	
106	25	256	
95	33	257	
113	41	241	
101	35	266	
104	34	276	
101	29	255	
96	29	219	
101	37	226	
93	34	276	
110	32	253	
123	32	279	
96	31	259	
111	32	268	
118	29	245	
98	33	282	
102	27	222	
95	29	297	
120	38	295	
98	36	254	
113	41	260	
89	27	235	
101	24	265	
114	40	239	
106	32	253	
97	34	265	
110	38	257	
105	32	247	
107	27	253	
108	33	270	
106	35	275	
113	30	222	
109	35	239	
108	34	240	
119	40	242	
104	42	255	
102	32	246	
99	28	254	
113	40	254	
104	40	253	
98	38	253	
111	34	306	
100	29	248	
113	35	248	
124	35	238	
111	24	241	
96	38	265	
111	32	273	
107	32	226	
105	26	229	
99	44	269	
98	22	268	
101	29	252	
107	31	243	
106	35	240	
109	28	284	
105	29	243	
110	36	288	
99	37	232	
99	31	257	
99	27	265	
101	33	289	
96	40	236	
116	33	225	
100	35	238	
92	27	237	
113	27	258	
98	27	285	
96	26	242	
103	44	246	
103	31	266	
100	35	255	
119	29	295	
107	33	279	
113	31	244	
99	27	204	
103	32	250	
116	27	244	
111	29	270	
99	35	303	
90	31	248	
99	31	260	
103	31	253	
109	32	282	
104	32	232	
115	31	241	
112	40	273	
103	36	235	
111	26	265	
118	34	230	
104	40	287	
113	38	267	
112	29	229	
110	33	250	
106	23	267	
99	36	273	
95	43	277	
104	35	222	
107	39	266	
115	41	279	
101	30	236	
104	33	256	
106	35	263	
106	29	274	
109	44	255	
107	38	267	
102	25	252	
116	39	255	
100	31	215	
110	22	230	
101	29	276	
100	27	315	
95	31	254	
111	39	280	
114	33	241	
110	30	270	
105	36	252	
98	32	228	
104	35	261	
108	30	271	
112	34	253	
111	28	262	
100	33	284	
109	32	256	
108	34	259	
118	30	264	
100	27	252	
106	25	241	
107	27	254	
113	30	289	
107	39	238	
102	26	279	
99	42	268	
106	29	281	
113	31	235	
105	35	233	
111	27	272	
97	36	237	
107	43	276	
108	43	268	
103	26	249	
98	30	257	
96	31	287	
105	31	243	
100	32	257	
