131	28	230	
123	35	258	
127	25	242	
128	34	226	
125	34	278	
127	22	258	
125	38	253	
135	27	265	
134	32	253	
149	33	237	
129	20	238	
142	32	263	
140	31	260	
135	30	249	
138	42	257	
133	32	276	
130	28	263	
143	26	236	
136	26	260	
132	34	245	
129	24	309	
137	39	266	
130	24	228	
135	34	279	
145	30	252	
128	30	237	
148	33	233	
131	36	250	
139	32	255	
127	37	238	
145	33	241	
132	33	259	
127	28	264	
138	32	262	
139	35	217	
137	23	245	
133	29	268	
145	32	305	
139	42	247	
136	34	249	
128	27	284	
143	27	268	
127	29	222	
144	26	234	
128	35	258	
128	30	263	
128	20	251	
127	26	239	
124	31	252	
139	30	266	
139	35	283	
128	35	259	
131	36	278	
134	37	228	
141	30	248	
138	33	230	
138	35	238	
135	28	293	
139	19	261	
128	28	257	
130	23	244	
133	30	241	
130	41	248	
143	38	245	
144	21	278	
138	18	274	
134	25	258	
134	26	226	
133	44	269	
115	34	284	
142	34	272	
140	24	237	
138	32	257	
137	28	272	
146	37	268	
120	31	241	
128	26	254	
132	24	271	
138	31	225	
133	35	266	
118	26	266	
115	30	230	
129	22	250	
142	35	228	
129	27	267	
128	23	259	
135	28	258	
124	38	258	
126	28	251	
137	31	247	
137	36	267	
123	36	289	
133	25	263	
147	33	219	
138	31	250	
132	28	260	
141	32	272	
130	36	233	
131	32	246	
134	35	243	
136	30	230	
133	26	228	
143	23	248	
140	39	239	
136	37	257	
138	39	279	
133	30	260	
140	28	282	
125	32	255	
139	38	221	
136	28	277	
131	36	236	
130	36	239	
138	32	275	
147	26	270	
124	32	250	
125	38	247	
128	40	260	
141	27	240	
138	30	247	
138	28	247	
133	25	265	
143	29	256	
130	36	280	
129	29	282	
136	28	250	
143	35	285	
139	29	269	
133	31	274	
140	32	274	
145	31	241	
141	35	250	
131	31	243	
135	39	259	
135	41	253	
125	33	245	
134	22	227	
126	35	264	
142	24	224	
130	31	260	
141	37	251	
132	32	239	
132	28	257	
142	25	296	
132	25	261	
125	28	261	
133	36	278	
126	37	272	
129	34	253	
128	29	250	
137	37	276	
135	22	227	
127	31	257	
128	30	237	
133	22	263	
129	35	248	
137	33	286	
139	31	248	
136	31	254	
139	27	222	
147	33	255	
139	27	269	
140	33	217	
128	34	249	
143	36	255	
144	37	243	
136	40	245	
136	32	274	
145	22	233	
130	30	250	
138	37	236	
138	34	226	
135	31	310	
135	28	233	
156	30	276	
145	39	224	
138	36	245	
144	39	286	
130	31	267	
130	37	260	
130	33	227	
152	34	241	
146	27	251	
130	30	266	
128	20	242	
128	30	238	
130	30	257	
137	28	243	
135	28	244	
147	25	222	
142	38	246	
155	29	235	
141	28	219	
118	31	265	
136	41	242	
138	36	278	
140	30	246	
139	36	259	
144	28	272	
157	26	247	
138	25	269	
147	34	251	
148	33	257	
129	22	253	
126	34	262	
136	28	256	
138	31	256	
121	24	250	
140	35	252	
131	39	235	
142	37	266	
131	38	245	
145	32	238	
142	37	251	
153	26	261	
134	16	240	
130	31	229	
140	27	284	
116	34	225	
138	39	223	
121	34	240	
147	36	237	
130	43	258	
136	33	206	
134	38	286	
141	24	239	
149	38	272	
136	30	303	
135	35	253	
134	42	263	
144	26	228	
130	35	302	
137	38	269	
117	27	230	
144	29	279	
130	33	252	
136	33	226	
130	30	227	
143	31	217	
130	35	261	
133	29	238	
125	32	265	
134	34	228	
135	30	245	
132	35	222	
126	35	247	
144	29	274	
132	31	246	
130	27	252	
131	21	274	
149	37	228	
139	38	238	
143	29	248	
124	32	259	
129	26	240	
131	32	217	
129	35	251	
141	31	269	
121	30	239	
142	42	229	
149	40	215	
142	32	227	
123	32	255	
125	35	262	
124	24	268	
133	30	243	
135	35	234	
140	33	275	
133	27	232	
140	29	240	
142	31	234	
140	39	266	
126	32	285	
132	31	235	
134	23	254	
146	42	264	
159	40	238	
132	31	243	
